category,label,risk_level,description,key_keywords,primary_modus_operandi
upi_collect_scam,UPI Collect Scam,high,"Fraudulent collect requests, deceptive QR codes, and requests to enter UPI PIN to receive money.","collect request;qr code;scan qr;approve payment;receive cashback;enter pin to receive","Fraudster sends a collect request or QR code claiming victim will receive money. Entering UPI PIN transfers money OUT of victim's account."
phishing_link,Phishing Link,high,"Malicious links mimicking bank portals, KYC verification forms, or utility disconnection alerts.","click here;verify kyc;update pan;account blocked;electricity disconnected;bijli vibhag;bit.ly;tinyurl","Victim clicks on a spoofed link that steals bank credentials, PAN details, or netbanking passwords."
otp_scam,OTP Fraud,high,"Social engineering to manipulate victims into revealing their One-Time Password.","share otp;tell otp;verification code;6 digit code;confirm otp;bank verification","Fraudster pretends to be bank staff, telecom operator, or courier agent needing the OTP to authorize an unauthorized transaction."
fake_refund,Fake Refund Scam,high,"Claims of accidental debits, excess payment refunds, or e-commerce returns requiring customer action.","refund pending;excess payment;order cancelled;refund credit;claim refund;reversal","Fraudster lures victim with a refund, then tricks them into sharing bank details or approving an outward payment request."
loan_scam,Fake Loan Scam,medium,"Predatory instant loan apps offering unverified loans with hidden fees, advance charges, or blackmail.","instant loan;no cibil;pre-approved loan;disbursement fee;loan approved;fast cash","Victim installs an unauthorized loan app that extracts phone contacts/photos or demands upfront processing fees before disappearing."
job_offer_scam,Fake Job Offer,medium,"Work-from-home offers, YouTube/Google map review ratings, and Telegram task scams demanding registration fees.","work from home;part time job;earn daily;rating task;youtube like;registration fee;telegram job","Victim is offered high daily earnings for simple tasks, paid small amounts initially, then coerced into depositing large sums to unlock earnings."
lottery_prize,Lottery / Prize Fraud,medium,"Deceptive claims of winning lotteries (KBC, car, lucky draw) requiring advance taxes or processing fees.","lottery winner;kbc lucky draw;congratulations;won car;claim prize;processing fee;customs fee","Victim is told they won a jackpot but must pay taxes, customs clearance, or registration charges upfront."
sim_swap,SIM Swap Fraud,high,"Deceiving users into upgrading or porting their SIM card, allowing attackers to intercept banking OTPs.","sim swap;5g upgrade;sim block;mnp request;port number;esim qr","Fraudster convinces victim to send an MNP port code or scan an eSIM QR under the guise of 4G to 5G upgrade, capturing phone line."
investment_scam,Investment / Crypto Scam,high,"Unrealistic promises of guaranteed daily returns, high-yield crypto trading, or VIP stock tipping groups.","guaranteed return;daily profit;crypto trading;double money;telegram trading;vip tips;forex","Victim is lured into a fraudulent investment portal showing fake profits, but withdrawals are blocked until exorbitant fees are paid."
voice_phishing,Voice Phishing / Digital Arrest,high,"Phone calls or video calls impersonating police, CBI, customs, or telecom officials threatening legal action.","digital arrest;cbi officer;police case;illegal parcel;customs seized;trai disconnection;arrest warrant","Fraudster impersonates law enforcement, alleges victim's Aadhaar was used in money laundering/drugs, and extorts money under digital arrest."
benign,Legitimate / Normal Message,safe,"Authentic bank debit/credit alerts, genuine order updates, verified OTPs, or regular safe communications.","debited;credited;available balance;otp for login;order delivered;swiggy;zomato;irctc;statement","Normal transactional communication that poses zero threat to user financial safety."
