text,category,risk_level,language,source_type
आवश्यक सूचना: फास्टैग अलर्ट: वाहन #5224 का फास्टैग खाता निष्क्रिय कर दिया गया है। पुनः सक्रिय करने के लिए KYC करें: https://fastag-verify5224.site,phishing_link,high,hi-IN,curated_scam
Urgent Notice: Aapka duplicate eSIM request #ES33313 mila hai number 33313 par. Agar aapne nahi kiya to turant call karein warna SIM 2 ghante me band ho jayega.,sim_swap,high,hi-Latn,curated_scam
"Zaroori Suchna: Aapka Yes Bank NetBanking password hack ho gaya hai user #48255, turant stop karne ke liye aaya hua verification OTP share karein.",otp_scam,high,hi-Latn,curated_scam
"ALERT: Dear Airtel Customer #70721, your SIM card will be upgraded to 5G Ultra automatically. Send SMS 'SIM 70721' to 121 to activate within 2 hours.",sim_swap,high,en-IN,curated_scam
Priority: Airtel verification officer Amit Shah here. Your SIM card #67492 will be blocked unless you confirm the 4-digit verification code received just now.,otp_scam,high,en-IN,curated_scam
"URGENT: Hedge fund private pool #70678: Guaranteed capital protection with 50% annual return. Minimum investment Rs 45,000.",investment_scam,high,en-IN,curated_scam
"Dear traveler, MakeMyTrip hotel cancellation refund of Rs 35,000 for booking #53284 approved. Verify banking credentials to disburse funds into Bank of Baroda.",fake_refund,high,en-IN,curated_scam
अंतिम चेतावनी: बिजली बिल सत्यापन Chandigarh: उपभोक्ता #90546 का मीटर कनेक्शन चालू रखने के लिए आपके मोबाइल पर आया सत्यापन कोड हमारे अधिकारी को दें।,otp_scam,high,hi-IN,curated_scam
"ALERT: Government approved infrastructure fund: Invest Rs 35,000 in scheme #89883 and receive guaranteed monthly pension of Rs 15,000 for lifetime.",investment_scam,high,en-IN,curated_scam
Dhyan Dein: BSNL 5G SIM activation for #35017: Number chalu rakhne ke liye 59059 par 'UPG 35017' send karein turant.,sim_swap,high,hi-Latn,curated_scam
Aakhri Chetawani: Airtel data alert: Mobile #86336 ka 100% daily data khatam ho gaya hai. Speed 64Kbps ho gayi hai. 1GB add-on karein.,benign,safe,hi-Latn,authentic_transaction
"Urgent Notice: Cashback lene ke liye QR scan karein aur apna security PIN dalein, turant Axis Bank me Rs 299 deposit hoga.",upi_collect_scam,high,hi-Latn,curated_scam
"Final Reminder: College examination fee for student #47887 deducted twice. Fill refund mandate form at https://univ-exam-fee-refund47887.site for Rs 100,000",fake_refund,high,en-IN,curated_scam
"Important Update: Swiggy: Haldiram se aapka order #67032 out for delivery hai. Delivery partner Alok Pandey raste me hai, live track karein.",benign,safe,hi-Latn,authentic_transaction
आवश्यक सूचना: एयरटेल 5G स्वागत ऑफर नंबर 52888: 50GB मुफ्त डेटा पाने के लिए 1900 से आया पोर्टिंग पुष्टिकरण कोड हमारे अधिकारी Advocate Alok Verma को फॉरवर्ड करें।,sim_swap,high,hi-IN,curated_scam
Alert: Airtel data alert: Mobile #90917 ka 100% daily data khatam ho gaya hai. Speed 64Kbps ho gayi hai. 1GB add-on karein.,benign,safe,hi-Latn,authentic_transaction
Action Required: Income Tax Enforcement Wing: Tax evasion case #76698 detected. Digital arrest warrant issued by officer Deepak Verma. Remain on Skype call or police team will arrive at residence in Jaipur.,voice_phishing,high,en-IN,curated_scam
IMPORTANT: Urgent Notice: Electricity power to consumer #19639 will be disconnected tonight at 9:30 PM by Bijli Vibhag due to unpaid bill of Rs 999. Click https://bijli-pay19639.in,phishing_link,high,en-IN,curated_scam
Zaroori Suchna: Airtel SIM band ho jayega 24 ghante me number 49867 ka. 5G e-KYC update karne ke liye visit karein https://airtel-kyc-desk49867.net,phishing_link,high,hi-Latn,curated_scam
Important Update: Jio Alert for number 35952: 4G SIM deactivation se bachne ke liye SIM ke piche likha 20-digit number share karein ya eSIM QR scan karein.,sim_swap,high,hi-Latn,curated_scam
"अंतिम चेतावनी: शेयर बाजार में रोजाना ₹250,000 कमाएं बिना किसी नुकसान की गारंटी के Mumbai में। हमारे सेबी पंजीकृत विश्लेषक के ग्रुप से जुड़ें: #36032।",investment_scam,high,hi-IN,curated_scam
तत्काल सूचना: डिजिटल गोल्ड ट्रेडिंग योजना Kolkata: गोल्ड पूल #19471 में पैसा जमा करें और प्रति दिन 2% ब्याज अर्जित करें। कभी भी निकासी करें।,investment_scam,high,hi-IN,curated_scam
पीएनबी अलर्ट: खाता #43748 निलंबित कर दिया गया है। पुनः सक्रिय करने के लिए नेटबैंकिंग लॉगिन करें: https://pnb-rekyc43748.info,phishing_link,high,hi-IN,curated_scam
"URGENT: Fastag toll duplicate deduction of Rs 8,500 at Pune toll plaza for vehicle #85784. Click https://toll-refund-desk85784.in to credit toll balance.",fake_refund,high,en-IN,curated_scam
"Aadhaar Instant Loan: Borrow Rs 250,000 at 1% interest rate per annum. Download APK file directly for profile #49162: https://aadhaar-credit-loan49162.apk",loan_scam,medium,en-IN,curated_scam
"Action Required: Refund Notice: We accidentally charged your credit card ending 60376 Rs 4,500 twice for your airline ticket to Ahmedabad. Contact customer desk at 9860376 to process reversal.",fake_refund,high,en-IN,curated_scam
"Aakhri Chetawani: Telegram task job: 10 hotel reviews likhein aur Rs 10,000 kamayein. Withdraw karne ke liye security deposit Rs 3,000 jama karein account #86689 me.",job_offer_scam,medium,hi-Latn,curated_scam
"Dhyan Dein: Amazon WFH hiring in Indore: Ghar baithe data entry job. Daily payout Rs 3,000. Registration fee Rs 499 refundable hai. Join group #28153.",job_offer_scam,medium,hi-Latn,curated_scam
ALERT: Paytm KYC Notice: Your wallet will be deactivated within 12 hours. Update Aadhaar and PAN at https://paytm-kyc-desk99609.live,phishing_link,high,en-IN,curated_scam
"Aakhri Chetawani: Dear user, GPay par cashback aaya hai Rs 250,000, turant collect request par PIN daal kar PNB account me transfer karein.",upi_collect_scam,high,hi-Latn,curated_scam
"Aakhri Chetawani: MakeMyTrip hotel booking #93256 cancel refund Rs 4,500 lene ke liye card details verify karein https://mmt-refunds93256.online",fake_refund,high,hi-Latn,curated_scam
Immediate Attention: Jio Notice: Complete your e-KYC update for number ending 83278 to continue enjoying unlimited 5G services: https://jio-5g-upgrade83278.top,phishing_link,high,en-IN,curated_scam
"महत्वपूर्ण सूचना: आपका ₹75,000 का रिवॉर्ड तैयार है। लिंक upi://pay?pa=rew63805@barodampay&am=75,000 पर क्लिक करके पिन डालकर क्लेम करें।",upi_collect_scam,high,hi-IN,curated_scam
"अंतिम रिमाइंडर: दैनिक मर्चेंट सेटलमेंट ₹25,000 पेंडिंग है। बैंक में पाने के लिए कलेक्ट रिक्वेस्ट पर क्लिक करें और UPI PIN डालें।",upi_collect_scam,high,hi-IN,curated_scam
Final Reminder: Refund Notice: We accidentally charged your credit card ending 64909 Rs 299 twice for your airline ticket to Indore. Contact customer desk at 9864909 to process reversal.,fake_refund,high,en-IN,curated_scam
"Aakhri Chetawani: Badhai ho! Festive contest #98617 me iPhone 15 jeeta hai. Delivery customs charges Rs 1,499 link par pay karein https://claim-gift98617.site",lottery_prize,medium,hi-Latn,curated_scam
"महत्वपूर्ण सूचना: खाते में ₹50,000 प्राप्त करने के लिए PhonePe खोलें और कलेक्ट अधिसूचना पर अपना MPIN दर्ज करें।",upi_collect_scam,high,hi-IN,curated_scam
"तत्काल सूचना: बधाई हो! आपको बिना किसी सिबिल स्कोर या कागजी कार्रवाई के ₹4,999 का तत्काल व्यक्तिगत ऋण स्वीकृत किया गया है। फाइल #31876। ऐप डाउनलोड करें: https://quick-loan31876.apk",loan_scam,medium,hi-IN,curated_scam
"महत्वपूर्ण सूचना: ग्राहक सूचना: ₹85,000 का भुगतान प्राप्त करने के लिए अपने Google Pay ऐप पर कलेक्ट अनुरोध को पिन डालकर तुरंत अनुमति दें।",upi_collect_scam,high,hi-IN,curated_scam
"अंतिम रिमाइंडर: आपका ₹1,200 का रिवॉर्ड तैयार है। लिंक upi://pay?pa=rew16105@oksbi&am=1,200 पर क्लिक करके पिन डालकर क्लेम करें।",upi_collect_scam,high,hi-IN,curated_scam
Priority: Jio True 5G Activation for number #76262: Send SMS 'SIMREQ 76262' to 199 to claim free unlimited 5G data package in Delhi.,sim_swap,high,en-IN,curated_scam
"आवश्यक सूचना: बिजली विभाग: उपभोक्ता #47658, आपका ₹75,000 का पिछला बिल जमा न होने के कारण आज रात 9:30 बजे बिजली काट दी जाएगी। तुरंत भुगतान करें: https://bijli-pay47658.in",phishing_link,high,hi-IN,curated_scam
"महत्वपूर्ण सूचना: OLX खरीदार Sanjay Singhania ने ₹15,000 का भुगतान भेजा है। पैसे खाते में जमा करने के लिए BHIM UPI पर QR स्कैन करें और UPI PIN डालें।",upi_collect_scam,high,hi-IN,curated_scam
"NOTICE: Legal Court Notice: Section 138 cheque bounce case initiated for unpaid loan balance Rs 1,499 on file #59188. Call lawyer Advocate Alok Verma at 9859188 to settle.",loan_scam,medium,en-IN,curated_scam
"WARNING: Refund Notice: We accidentally charged your credit card ending 7630 Rs 35,000 twice for your airline ticket to Jaipur. Contact customer desk at 987630 to process reversal.",fake_refund,high,en-IN,curated_scam
टाइपिंग जॉब: मोबाइल पर प्रति पेज ₹100 कमाएं। सॉफ्टवेयर एक्टिवेशन फीस ₹750 का भुगतान करके आज ही काम शुरू करें। प्रोजेक्ट #5327।,job_offer_scam,medium,hi-IN,curated_scam
"Aakhri Chetawani: Crypto task complete karne ke baad Rs 12,500 account me locked hain. Unlock karne ke liye tier-3 VIP fee Rs 5,000 transfer karein.",job_offer_scam,medium,hi-Latn,curated_scam
"Dhyan Dein: Paytm jackpot me Rs 20,000 jeet gaye hain customer #43253. Cash account me transfer karne ke liye processing fee pay karein https://paytm-gift43253.online",lottery_prize,medium,hi-Latn,curated_scam
